timestamp_pacific,event_id,event,direction,command,result,argument,source,opcode1,opcode2,nak_code,nak_reason,operational_state,operational_state_name,details
2026-07-26T18:25:16.994-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:25:17.035-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:25:18.035-07:00,auto_outside_comm_for_critical_peak_1,command_sent,outbound,outside_communication,pending,0,schedule,14,0,,,,,
2026-07-26T18:25:18.082-07:00,,link_ack,inbound,outside_communication,ack,,link_layer,14,,,,,,
2026-07-26T18:25:18.194-07:00,,application_ack,inbound,outside_communication,ack,,application_layer,3,14,,,,,
2026-07-26T18:25:18.234-07:00,auto_outside_comm_for_critical_peak_1,command_completed,outbound,outside_communication,ok,0,schedule,14,0,,,,,
2026-07-26T18:25:32.243-07:00,critical_peak_1,command_sent,outbound,critical_peak,pending,15,schedule,10,15,,,,,
2026-07-26T18:25:32.319-07:00,,link_ack,inbound,critical_peak,ack,,link_layer,10,,,,,,
2026-07-26T18:25:32.415-07:00,,application_ack,inbound,critical_peak,ack,,application_layer,3,10,,,,,
2026-07-26T18:25:32.456-07:00,critical_peak_1,command_completed,outbound,critical_peak,ok,15,schedule,10,15,,,,,
2026-07-26T18:26:16.478-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:26:16.584-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:26:16.754-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:26:16.754-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:26:16.904-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:26:17.015-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:26:17.056-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:27:17.086-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:27:17.229-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:27:17.383-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:27:17.384-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:27:17.533-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:27:17.645-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:27:17.686-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:28:16.715-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:28:16.851-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:28:17.021-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:28:17.022-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:28:17.170-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:28:17.282-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:28:17.323-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:29:16.352-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:29:16.488-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:29:16.659-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:29:16.659-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:29:16.808-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:29:16.920-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:29:16.961-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:30:16.990-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:30:17.117-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:30:17.288-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:30:17.288-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:30:17.437-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:30:17.549-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:30:17.590-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:31:16.619-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:31:16.755-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:31:16.925-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:31:16.925-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:31:17.075-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:31:17.186-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:31:17.227-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:32:16.256-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:32:16.392-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:32:16.563-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:32:16.563-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:32:16.712-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:32:16.824-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,4,,,4,Idle Curtailed,
2026-07-26T18:32:16.864-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:33:16.894-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:33:17.021-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:33:17.192-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:33:17.192-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:33:17.341-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:33:17.453-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:33:17.494-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:34:16.523-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
2026-07-26T18:34:16.659-07:00,,link_ack,inbound,get_commodity,ack,,link_layer,6,,,,,,
2026-07-26T18:34:16.829-07:00,,query_completed,outbound,get_commodity,ok,,periodic,6,0,,,,,
2026-07-26T18:34:16.830-07:00,,query_sent,outbound,query_operational_state,pending,,periodic,18,0,,,,,
2026-07-26T18:34:16.979-07:00,,link_ack,inbound,query_operational_state,ack,,link_layer,18,,,,,,
2026-07-26T18:34:17.075-07:00,,operational_state,inbound,query_operational_state,received,,device_response,19,0,,,0,Idle Normal,
2026-07-26T18:34:17.115-07:00,,query_completed,outbound,query_operational_state,ok,,periodic,18,0,,,,,
2026-07-26T18:35:16.144-07:00,,query_sent,outbound,get_commodity,pending,,periodic,6,0,,,,,
